,negation,hedge,p_phrases
0,0,0,2
1,1,0,2
2,1,0,2
3,1,0,2
4,0,0,3
5,0,0,2
6,0,0,3
7,0,0,2
8,0,0,5
9,0,0,7
10,1,0,6
11,1,0,1
12,1,0,3
13,1,0,1
14,1,0,1
15,0,1,2
16,1,0,2
17,1,0,4
18,0,1,2
19,0,0,11
20,0,0,9
21,0,0,5
22,1,0,2
23,1,0,2
24,0,0,2
25,0,0,2
26,1,1,2
27,0,0,7
28,0,0,13
29,1,0,1
30,0,0,3
31,1,0,10
32,0,0,2
33,1,0,2
34,0,0,6
35,0,0,3
36,1,0,2
37,1,0,3
38,0,0,1
39,0,0,2
40,0,0,1
41,0,0,1
42,1,0,1
43,0,0,2
44,1,0,12
45,0,0,1
46,0,1,4
47,0,0,3
48,1,0,1
49,1,0,1
50,0,0,2
51,0,0,2
52,0,0,1
53,0,0,1
54,0,0,3
55,0,0,2
56,1,0,7
57,0,0,0
58,0,0,1
59,0,0,2
60,0,0,2
61,1,0,2
62,0,0,4
63,1,0,3
64,1,0,1
65,0,0,1
66,1,0,1
67,0,0,2
68,1,0,2
69,1,0,2
70,0,0,3
71,1,0,5
72,0,0,2
73,0,0,2
74,0,0,1
75,0,0,2
76,0,0,2
77,0,0,3
78,0,0,2
79,0,0,1
80,0,0,0
81,1,0,2
82,1,0,2
83,0,0,4
84,0,0,5
85,1,0,4
86,0,0,1
87,0,0,1
88,0,0,2
89,0,0,5
90,1,0,3
91,0,0,1
92,0,0,5
93,1,0,9
94,0,0,2
95,1,0,5
96,0,0,3
97,0,0,3
98,0,0,12
99,1,0,2
100,1,0,2
101,0,0,4
102,1,0,2
103,0,0,2
104,0,1,3
105,0,0,7
106,1,0,2
107,0,0,2
108,0,0,2
109,0,0,2
110,1,0,1
111,1,0,4
112,0,0,4
113,0,0,7
114,0,0,1
115,1,0,3
116,0,0,3
117,0,0,11
118,0,0,11
119,0,0,8
120,0,0,8
121,0,0,3
122,0,0,4
123,0,1,2
124,0,0,1
125,0,0,1
126,0,0,5
127,0,0,2
128,1,0,2
129,0,0,1
130,0,0,1
131,0,0,3
132,1,0,1
133,0,0,2
134,0,0,2
135,0,0,1
136,0,0,8
137,1,0,2
138,1,0,2
139,1,0,1
140,1,0,2
141,1,0,2
142,0,0,3
143,0,0,2
144,0,0,2
145,0,0,2
146,0,0,1
147,0,0,5
148,0,0,5
149,0,0,0
150,0,1,2
151,0,0,8
152,0,0,1
153,1,0,6
154,0,1,0
155,0,0,3
156,0,0,2
157,1,0,3
158,0,0,4
159,0,0,5
160,0,0,2
161,0,0,7
162,0,0,2
163,0,1,2
164,1,1,6
165,1,0,1
166,0,0,1
167,1,0,4
168,0,0,4
169,0,0,9
170,0,0,1
171,0,1,3
172,0,0,9
173,1,0,8
174,0,0,3
175,0,0,4
176,0,0,2
177,1,1,9
178,0,0,2
179,0,0,3
180,0,0,0
181,0,0,2
182,0,0,9
183,0,0,9
184,0,0,8
185,1,0,7
186,0,0,1
187,0,0,1
188,1,0,1
189,0,0,1
190,1,0,6
191,0,0,1
192,0,0,1
193,0,1,7
194,0,0,2
195,0,0,4
196,0,0,8
197,0,0,1
198,1,0,1
199,0,0,3
200,0,0,4
201,0,0,0
202,0,0,6
203,0,0,3
204,1,0,4
205,0,0,1
206,1,0,7
207,0,0,2
208,0,0,8
209,0,0,2
210,1,0,1
211,0,0,5
212,0,0,2
213,0,0,10
214,0,0,10
215,1,0,13
216,0,0,1
217,0,0,2
218,1,0,6
219,0,0,10
220,0,0,1
221,0,1,9
222,0,0,1
223,0,0,5
224,1,0,2
225,0,0,2
226,0,0,1
227,0,0,0
228,0,0,2
229,0,0,0
230,0,0,2
231,0,0,2
232,0,0,5
233,1,0,5
234,0,0,1
235,0,0,1
236,1,0,3
237,0,0,3
238,1,1,6
239,0,0,2
240,0,0,5
241,0,0,5
242,0,0,2
243,0,0,3
244,0,0,1
245,0,0,0
246,0,0,2
247,0,0,3
248,0,0,3
249,0,0,7
250,0,0,2
251,0,0,2
252,0,0,3
253,0,0,3
254,0,0,0
255,0,0,1
256,0,0,1
257,0,1,3
258,0,0,1
259,0,0,6
260,0,0,2
261,0,0,2
262,0,0,2
263,0,1,3
264,0,0,2
265,0,0,2
266,0,0,7
267,1,0,2
268,0,0,2
269,1,0,4
270,0,0,2
271,0,0,2
272,0,0,6
273,0,0,0
274,0,0,8
275,0,0,6
276,1,0,11
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,0,3
282,0,0,4
283,0,0,3
284,0,0,3
285,0,0,1
286,0,0,1
287,1,0,8
288,0,0,2
289,0,0,2
290,1,0,11
291,0,0,2
292,0,0,3
293,0,0,1
294,0,0,8
295,0,0,10
296,1,0,2
297,0,0,0
298,0,0,4
299,0,0,6
300,1,0,7
301,1,1,2
302,0,0,3
303,0,0,1
304,0,0,4
305,0,0,2
306,0,0,2
307,0,0,4
